class,AP50
Tomato leaf late blight,0.18115656856936932
Corn Gray leaf spot,0.2202564102564103
Tomato Early blight leaf,0.2541560583948895
Potato leaf,0.27567002152009945
Potato leaf late blight,0.36723975200932113
Bell_pepper leaf spot,0.44817749269503937
Bell_pepper leaf,0.4492470002764121
Tomato leaf bacterial spot,0.4750743390177121
Tomato Septoria leaf spot,0.5153462504747884
Tomato leaf yellow virus,0.5510864540357017
Tomato leaf mosaic virus,0.5644903119868637
Cherry leaf,0.6287583435083436
Tomato leaf,0.6571389272488604
Tomato mold leaf,0.6720013651528027
Apple leaf,0.7047988816738817
Blueberry leaf,0.7164188402643759
Apple rust leaf,0.7201538461538461
Apple Scab Leaf,0.7362949039264829
Soyabean leaf,0.7756811171996589
Corn leaf blight,0.8049622132253711
Squash Powdery mildew leaf,0.813092105263158
Raspberry leaf,0.8169814814814819
Peach leaf,0.84832995951417
grape leaf black rot,0.9746078431372548
Strawberry leaf,0.9940322580645161
Corn rust leaf,0.995
grape leaf,0.995
